Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Single_T2.1,Coverage (%) Chronic_T4.1,Coverage (%) Control_T1.1,Coverage (%) Episodic_T3.1,Coverage (%) Control_T1.2,Coverage (%) Episodic_T3.2,Coverage (%) Chronic_T4.2,Coverage (%) Single_T2.2,Coverage (%) Control_T1.3,Coverage (%) Episodic_T3.3,Coverage (%) Single_T2.3,Coverage (%) Chronic_T4.3,Area Single_T2.1,Area Chronic_T4.1,Area Control_T1.1,Area Episodic_T3.1,Area Control_T1.2,Area Episodic_T3.2,Area Chronic_T4.2,Area Single_T2.2,Area Control_T1.3,Area Episodic_T3.3,Area Single_T2.3,Area Chronic_T4.3,#Peptides,#Unique,#Spec Single_T2.1,#Spec Chronic_T4.1,#Spec Control_T1.1,#Spec Episodic_T3.1,#Spec Control_T1.2,#Spec Episodic_T3.2,#Spec Chronic_T4.2,#Spec Single_T2.2,#Spec Control_T1.3,#Spec Episodic_T3.3,#Spec Single_T2.3,#Spec Chronic_T4.3,PTM,Avg. Mass,Description
20,35,TRINITY_DN47061_c0_g1_i1.p1,440.63,84,78,82,74,80,75,78,81,78,69,81,77,80,5.7232E8,8.3873E8,3.8404E8,5.7943E8,4.0822E8,3.7576E8,9.6277E8,6.795E8,3.5377E8,7.5089E8,3.2339E8,5.3097E8,82,81,75,95,61,73,65,67,116,82,68,78,72,81,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Methylation(KR); 14 more,40963,TRINITY_DN47061_c0_g1_i1.p1
41,12,TRINITY_DN31622_c0_g1_i1.p1,424.52,72,67,62,63,63,55,58,61,63,57,65,65,59,2.9621E8,1.2483E8,1.6741E8,2.367E8,1.5372E8,1.1812E8,1.1312E8,3.1427E8,1.4753E8,2.1534E8,1.2484E8,1.086E8,58,29,74,38,52,61,46,45,39,72,61,56,56,42,Carbamidomethylation; Oxidation (M); Replacement of proton with ammonium ion; Mutation,46316,TRINITY_DN31622_c0_g1_i1.p1
18,28,TRINITY_DN46437_c0_g1_i4.p1,421.63,61,46,55,46,51,49,48,51,41,42,50,44,53,3.8222E8,1.2303E9,2.4614E8,5.4644E8,3.8035E8,4.3068E8,9.2377E8,5.0112E8,3.4283E8,7.3672E8,2.7117E8,7.3887E8,84,84,65,114,62,83,74,70,112,69,68,80,64,100,Oxidation (M); Deamidation (NQ); Carboxylation (DKW); Formylation; HexNAcylation (N); 2 more,87603,TRINITY_DN46437_c0_g1_i4.p1
27,676,TRINITY_DN48334_c1_g1_i8.p1,421.47,90,79,79,78,79,78,90,48,90,89,90,78,79,,,,,,6.5004E5,,7.7125E5,5.1193E5,5.2477E5,,,58,1,80,49,30,38,65,122,13,79,67,123,72,51,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); 7 more,13627,TRINITY_DN48334_c1_g1_i8.p1
27,675,TRINITY_DN48334_c1_g1_i6.p1,421.47,95,84,84,83,84,83,95,51,95,94,95,83,84,,,,,,6.5004E5,,7.7125E5,5.1193E5,5.2477E5,,,58,1,80,49,30,38,65,122,13,79,67,123,72,51,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); 7 more,12889,TRINITY_DN48334_c1_g1_i6.p1
48,81,TRINITY_DN46356_c3_g4_i2.p1,420.81,91,80,71,49,61,76,73,34,78,69,83,72,67,2.3257E8,1.1436E8,3.0136E7,1.1395E8,1.4763E8,5.423E8,5.8128E6,2.7947E8,1.6084E8,4.8834E8,1.6833E8,7.4969E7,83,49,59,34,21,26,47,101,8,59,66,96,53,24,Carbamidomethylation; Oxidation (M); Dihydroxy; Acetylation (TSCYH); Deamidation (NQ); 7 more,26594,TRINITY_DN46356_c3_g4_i2.p1
14,18,TRINITY_DN48208_c1_g3_i1.p1,417.46,85,74,76,61,71,64,55,83,76,69,69,65,72,8.2142E8,1.7064E9,4.7418E8,9.4655E8,6.1744E8,7.1752E8,1.4127E9,1.056E9,6.8759E8,1.1699E9,5.0796E8,6.3632E8,118,117,84,126,66,84,71,77,130,83,87,88,79,97,Carbamidomethylation; Oxidation (M); Dihydroxy; Deamidation (NQ); Methylation(KR); 14 more,50264,TRINITY_DN48208_c1_g3_i1.p1
14,19,TRINITY_DN48208_c1_g3_i2.p1,417.46,85,74,76,61,71,64,55,83,76,69,69,65,72,8.2142E8,1.7064E9,4.7418E8,9.4655E8,6.1744E8,7.1752E8,1.4127E9,1.056E9,6.8759E8,1.1699E9,5.0796E8,6.3632E8,118,117,84,126,66,84,71,77,130,83,87,88,79,97,Carbamidomethylation; Oxidation (M); Dihydroxy; Deamidation (NQ); Methylation(KR); 14 more,50264,TRINITY_DN48208_c1_g3_i2.p1
44,25,TRINITY_DN47818_c0_g1_i1.p1,414.17,69,54,54,49,54,51,52,63,61,44,55,49,58,1.8762E8,5.2891E8,1.2955E8,2.8034E8,1.1709E8,1.7064E8,5.114E8,2.3357E8,7.7044E7,2.9041E8,1.1458E8,3.844E8,86,86,47,69,39,56,29,44,93,46,27,41,38,70,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Methylation(others); 4 more,67553,TRINITY_DN47818_c0_g1_i1.p1
46,20,TRINITY_DN47543_c0_g2_i2.p1,412.93,71,56,56,56,62,54,62,51,57,58,65,52,58,2.7276E8,3.6531E8,1.5905E8,2.9133E8,2.1182E8,4.7384E8,2.2001E8,4.3118E8,2.3168E8,4.8729E8,2.3748E8,2.8186E8,66,66,44,46,40,45,38,62,42,62,47,70,50,51,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Acetylation (N-term); 3 more,53474,TRINITY_DN47543_c0_g2_i2.p1
23,155,TRINITY_DN13730_c0_g1_i1.p1,411.71,44,37,27,29,28,38,37,27,40,44,31,29,31,1.1973E9,8.7971E8,8.3443E8,1.0412E9,7.9876E8,7.0205E8,4.3014E8,1.647E9,1.0549E9,1.3138E9,8.3606E8,8.3754E8,58,58,97,49,80,61,72,70,34,89,90,60,71,58,Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); Hexose (NSY); 14 more,39124,TRINITY_DN13730_c0_g1_i1.p1
11,147,TRINITY_DN37288_c0_g1_i1.p2,410.01,67,64,63,66,65,64,64,63,64,63,64,64,65,1.8189E9,1.7445E9,1.5387E9,1.7432E9,1.2503E9,9.4732E8,9.5821E8,2.4499E9,5.1811E8,3.2238E9,8.9572E8,1.8097E9,102,102,101,83,103,98,86,76,85,105,63,113,81,121,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Methylation(KR); 16 more,32898,TRINITY_DN37288_c0_g1_i1.p2
11,146,TRINITY_DN37288_c0_g1_i2.p1,409.98,67,64,63,66,65,64,64,63,64,63,64,64,65,1.8189E9,1.7445E9,1.5387E9,1.7432E9,1.2503E9,9.4732E8,9.5821E8,2.4499E9,5.1811E8,3.2238E9,8.9572E8,1.8097E9,102,102,101,83,103,98,86,76,85,105,63,113,81,121,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Methylation(KR); 16 more,32998,TRINITY_DN37288_c0_g1_i2.p1
17,50,TRINITY_DN44467_c2_g2_i3.p1,406.94,81,78,71,71,71,75,68,75,80,81,68,75,75,1.4043E9,7.8851E8,8.5907E8,1.2307E9,8.2974E8,6.348E8,4.296E8,1.1457E9,6.4914E8,1.1005E9,6.1954E8,6.0561E8,106,104,114,70,75,92,67,69,57,98,88,81,95,80,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Sodium adduct; 9 more,32865,TRINITY_DN44467_c2_g2_i3.p1
45,49,TRINITY_DN44679_c0_g1_i1.p1,406.24,73,52,60,51,54,52,56,64,52,41,54,48,60,1.5054E8,4.8212E8,9.9178E7,1.5992E8,1.0233E8,1.527E8,3.8852E8,2.3478E8,5.5969E7,2.9114E8,8.4236E7,2.6896E8,66,60,42,75,36,43,40,47,79,54,28,52,34,69,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Ubiquitin; 5 more,47419,TRINITY_DN44679_c0_g1_i1.p1
54,66,TRINITY_DN45507_c0_g4_i1.p2,396.60,71,50,41,43,49,47,36,29,60,60,53,60,36,2.9781E8,9.5101E7,2.4482E8,2.7432E8,2.5403E8,1.1126E8,1.978E7,4.8193E8,3.2295E8,2.6283E8,2.3277E8,9.3781E7,58,58,67,21,64,55,55,32,12,60,73,39,64,25,Carbamidomethylation; Oxidation (M); Dihydroxy; Deamidation (NQ); Methylation(KR); 7 more,38767,TRINITY_DN45507_c0_g4_i1.p2
26,486,TRINITY_DN11298_c0_g1_i1.p1,393.49,78,78,78,78,78,78,73,78,78,73,78,73,78,5.8876E8,3.2303E8,3.8514E8,5.1374E8,4.101E8,2.2408E8,1.4112E8,5.5696E8,4.1679E8,1.1052E9,3.2759E8,2.4446E8,59,59,76,60,66,80,75,48,31,74,69,84,66,71,Oxidation (M); Dihydroxy; Deamidation (NQ); Formylation; Ammonia-loss (N); 5 more,13113,TRINITY_DN11298_c0_g1_i1.p1
39,52,TRINITY_DN41168_c0_g1_i1.p1,391.10,84,80,80,69,80,78,80,80,76,78,70,70,80,1.9065E8,4.1178E8,1.1046E8,2.6911E8,1.7797E8,3.1857E8,2.7255E8,2.7756E8,1.4455E8,2.5891E8,1.7965E8,2.7299E8,44,42,50,64,42,55,50,67,59,52,46,55,55,60,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Ethyl amino; Mutation,34979,TRINITY_DN41168_c0_g1_i1.p1
51,9,TRINITY_DN46596_c0_g2_i1.p1,384.56,73,53,54,50,53,53,59,55,53,45,61,63,56,4.0458E8,4.449E8,1.8712E8,3.5061E8,2.9308E8,5.5396E8,2.7891E8,5.1144E8,2.5214E8,5.521E8,2.9047E8,3.093E8,42,42,47,49,35,48,40,66,50,53,38,59,52,41,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Sodium adduct; Sulphone; 4 more,44022,TRINITY_DN46596_c0_g2_i1.p1
35,24,TRINITY_DN47184_c0_g1_i3.p1,380.94,77,61,63,59,65,62,56,59,64,47,54,54,67,2.4636E8,3.1924E8,1.8119E8,2.8962E8,1.9091E8,1.8048E8,2.5788E8,3.455E8,1.3671E8,3.5161E8,1.3834E8,2.243E8,54,54,57,61,51,68,52,56,60,64,39,53,42,65,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Acetylation (TSCYH); Deamidation (NQ); 15 more,54472,TRINITY_DN47184_c0_g1_i3.p1
70,10,TRINITY_DN41341_c0_g1_i1.p1,379.58,75,58,62,49,55,46,62,56,57,47,62,40,56,1.6958E8,2.3969E8,1.2573E8,1.6381E8,2.0042E8,2.2265E8,1.3026E8,2.3608E8,1.1625E8,3.2539E8,1.2418E8,1.3682E8,52,52,40,50,34,37,38,49,40,45,32,51,32,36,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Phosphorylation (STY); 6 more,57555,TRINITY_DN41341_c0_g1_i1.p1
43,69,TRINITY_DN40394_c0_g1_i3.p1,378.90,77,71,69,75,66,72,67,54,75,67,65,69,66,4.1726E8,1.7388E8,3.4439E8,3.0424E8,3.0539E8,1.3975E8,1.3396E8,3.7709E8,2.337E8,3.3011E8,1.9808E8,1.9108E8,46,43,69,39,69,59,64,38,28,64,57,50,50,43,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Acetylation (TSCYH); 11 more,47443,TRINITY_DN40394_c0_g1_i3.p1
74,31,TRINITY_DN37866_c0_g1_i1.p1,377.28,58,31,51,29,39,31,23,51,36,32,38,30,47,3.7425E7,1.1061E8,1.7198E7,5.0627E7,3.1637E7,1.6789E7,1.8977E8,7.3529E7,4.9254E7,1.635E8,1.4949E7,6.6834E7,69,38,30,55,28,40,30,20,72,31,34,43,27,47,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Acetylation (N-term); 9 more,72083,TRINITY_DN37866_c0_g1_i1.p1
55,11,TRINITY_DN44574_c0_g2_i1.p1,376.99,75,59,55,52,57,62,62,48,67,53,59,59,62,1.8767E8,1.4256E8,9.9048E7,1.7601E8,1.2033E8,3.2668E8,6.55E7,2.4708E8,1.2303E8,3.4634E8,1.217E8,1.3435E8,42,42,48,40,39,46,38,70,29,53,41,56,49,46,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Acetylation (Protein N-term); Pyro-glu from Q; 2 more,51144,TRINITY_DN44574_c0_g2_i1.p1
114,16,TRINITY_DN48048_c0_g2_i3.p1,376.02,68,26,54,27,39,36,33,62,32,26,62,28,52,3.4361E7,3.8558E8,2.962E7,6.1932E7,6.0967E7,6.6924E7,2.3415E8,5.3869E7,9.8596E6,2.0298E8,2.4251E7,1.6021E8,48,32,14,59,15,23,20,20,61,17,10,52,14,45,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Dimethylation(KR); Ammonia-loss (N); Mutation,45526,TRINITY_DN48048_c0_g2_i3.p1
22,192,TRINITY_DN44760_c1_g1_i2.p2,375.82,83,74,75,70,70,74,70,70,65,65,78,70,65,3.5203E8,7.1357E8,1.7717E8,3.2248E8,2.54E8,2.8325E8,1.0628E9,5.5E8,1.9421E8,5.2657E8,2.7165E8,3.3378E8,56,26,70,100,59,75,73,64,110,72,61,88,65,70,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Carbamylation; Sodium adduct; 10 more,20293,TRINITY_DN44760_c1_g1_i2.p2
64,14,TRINITY_DN41341_c1_g1_i1.p1,374.25,69,55,66,49,55,53,41,61,59,46,48,44,56,1.3683E8,2.0994E8,9.1437E7,1.4045E8,1.3586E8,9.0645E7,1.677E8,1.7494E8,9.93E7,1.4992E8,7.4424E7,1.0397E8,54,53,41,54,40,44,43,41,48,44,38,38,34,46,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Methylation(KR); 5 more,68788,TRINITY_DN41341_c1_g1_i1.p1
73,223,TRINITY_DN48995_c0_g1_i1.p1,372.39,55,45,37,23,41,44,28,34,50,43,49,36,37,6.0853E8,4.1716E8,3.893E8,4.9858E8,4.5962E8,2.0915E8,2.015E8,7.4857E8,3.2836E8,7.0534E8,2.6151E8,4.8694E8,54,54,48,31,30,38,44,31,24,55,43,43,40,35,Oxidation (M); Dihydroxy; Replacement of proton by lithium; Formylation; Pyro-glu from Q; 3 more,30286,TRINITY_DN48995_c0_g1_i1.p1
42,129,TRINITY_DN31007_c0_g1_i2.p1,371.09,90,80,66,55,73,84,82,33,85,77,81,74,65,5.8681E8,3.0652E8,1.5247E8,2.7292E8,4.0223E8,1.2929E9,3.7026E7,7.5974E8,3.5966E8,1.3575E9,3.6201E8,1.7097E8,73,52,63,38,22,34,57,101,9,69,51,90,62,35,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Phosphorylation (STY); Propionamide (K  X@N-term); 13 more,27983,TRINITY_DN31007_c0_g1_i2.p1
111,32,TRINITY_DN44490_c0_g1_i3.p1,369.04,52,48,15,38,32,33,18,17,36,30,30,32,14,1.248E8,4.053E7,1.0202E8,1.0147E8,8.1933E7,3.3215E7,1.4513E7,1.0608E8,1.2337E8,8.0116E7,6.62E7,1.5376E7,48,34,46,12,47,37,37,16,15,39,33,30,33,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Deoxy; Oxidation or Hydroxylation; 3 more,99775,TRINITY_DN44490_c0_g1_i3.p1
32,55,TRINITY_DN46306_c1_g3_i2.p1,368.16,71,57,62,58,56,57,56,61,54,42,60,48,64,1.8404E8,2.8918E8,1.7364E8,1.8513E8,2.1553E8,1.583E8,2.9419E8,2.5888E8,8.3458E7,4.5612E8,1.0751E8,2.238E8,64,37,51,67,62,54,57,51,76,60,40,82,40,59,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Formylation; Amidation; 6 more,38685,TRINITY_DN46306_c1_g3_i2.p1
53,56,TRINITY_DN45178_c0_g2_i1.p1,366.23,62,50,56,47,48,56,51,59,56,55,58,57,56,2.348E8,4.3543E8,1.0857E8,2.4929E8,2.2141E8,4.1532E8,4.1463E8,3.3613E8,1.5988E8,5.3815E8,1.5567E8,2.2689E8,47,47,41,49,30,40,38,60,67,43,42,65,44,48,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); 9 more,44328,TRINITY_DN45178_c0_g2_i1.p1
13,545,TRINITY_DN36837_c1_g1_i3.p1,362.24,52,49,47,36,48,46,42,47,45,48,45,49,46,1.2372E8,1.2045E8,1.1987E8,1.2221E8,1.195E8,7.544E7,1.0772E8,1.3824E8,1.7058E8,1.0746E8,1.1265E8,1.1148E8,58,11,102,90,74,97,80,63,90,99,101,86,113,88,Oxidation (M); Dihydroxy; Deamidation (NQ); Methylation(KR); Sodium adduct; 10 more,22787,TRINITY_DN36837_c1_g1_i3.p1
60,29,TRINITY_DN47141_c0_g1_i1.p1,361.65,60,37,55,44,50,49,27,48,43,34,58,29,49,8.5148E7,2.0091E8,7.4899E7,1.5296E8,1.8239E8,2.1332E7,1.5707E8,1.0517E8,4.5855E7,2.7858E8,3.1636E7,1.2297E8,52,49,35,59,42,56,65,20,52,41,28,68,20,48,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); 6 more,76886,TRINITY_DN47141_c0_g1_i1.p1
103,41,TRINITY_DN46895_c0_g1_i1.p1,361.09,62,33,39,27,38,26,43,38,31,30,51,38,50,5.1009E7,1.2006E8,3.7553E7,5.5536E7,3.5243E7,1.0912E8,1.0579E8,6.8493E7,4.9066E7,1.6495E8,4.8076E7,6.4132E7,52,50,28,38,20,28,21,43,32,21,24,49,29,34,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Dihydroxy; Deamidation (NQ); 9 more,74581,TRINITY_DN46895_c0_g1_i1.p1
8,527,TRINITY_DN36837_c1_g1_i4.p1,357.68,57,55,54,40,54,51,45,55,52,50,53,55,54,9.9736E7,1.5887E8,2.9763E7,1.1228E8,2.8263E7,2.9535E7,1.2814E8,1.2016E8,1.1782E8,1.7801E8,9.047E7,8.2382E7,77,30,111,106,76,105,78,70,101,113,110,109,121,102,Oxidation (M); Dihydroxy; Deamidation (NQ); Methylation(KR); Sodium adduct; 7 more,22831,TRINITY_DN36837_c1_g1_i4.p1
8,557,TRINITY_DN36837_c1_g1_i2.p1,357.68,57,55,54,40,54,51,45,55,52,50,53,55,54,9.9736E7,1.5887E8,2.9763E7,1.1228E8,2.8263E7,2.9535E7,1.2814E8,1.2016E8,1.1782E8,1.7801E8,9.047E7,8.2382E7,77,30,111,106,76,105,78,70,101,113,110,109,121,102,Oxidation (M); Dihydroxy; Deamidation (NQ); Methylation(KR); Sodium adduct; 7 more,22845,TRINITY_DN36837_c1_g1_i2.p1
63,33,TRINITY_DN47549_c1_g1_i1.p1,356.56,56,44,40,47,50,40,33,44,40,32,52,31,42,1.5037E8,1.4467E8,1.9524E8,2.8598E8,1.8262E8,1.049E8,1.0611E8,2.1932E8,8.5467E7,3.1601E8,9.0767E7,1.2701E8,51,51,46,35,58,64,43,32,34,41,34,56,30,41,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Methylation(KR); 7 more,85385,TRINITY_DN47549_c1_g1_i1.p1
107,62,TRINITY_DN47596_c0_g1_i1.p1,355.34,43,36,40,34,38,35,35,39,40,30,39,36,38,9.7972E7,2.0907E8,6.1929E7,1.1116E8,7.9992E7,8.7068E7,1.9344E8,1.426E8,7.0727E7,1.6709E8,7.2049E7,1.2201E8,41,41,28,42,22,30,24,26,41,30,21,36,28,30,Carbamidomethylation; Oxidation (M); Carbamidomethylation (DHKE  X@N-term); Deamidation (NQ); Methylation(KR); 4 more,68738,TRINITY_DN47596_c0_g1_i1.p1
105,78,TRINITY_DN50402_c0_g1_i1.p1,355.11,64,55,31,53,52,50,46,9,51,47,52,57,34,2.3901E8,2.3063E7,1.605E8,1.545E8,1.4605E8,1.0255E8,6.6491E6,3.1792E8,1.8493E8,1.9708E8,1.3332E8,4.703E7,37,37,42,10,41,36,34,29,3,42,40,31,40,16,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Mutation,40450,TRINITY_DN50402_c0_g1_i1.p1
154,46,TRINITY_DN47460_c1_g1_i1.p1,354.41,41,29,32,23,26,26,34,32,34,28,31,29,29,6.7654E7,1.0063E8,2.5212E7,5.6275E7,7.4206E7,7.4108E7,7.0789E7,1.1173E8,6.1754E7,1.0907E8,4.7889E7,4.4998E7,26,26,24,25,15,19,25,27,22,27,24,22,23,21,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Acetylation (N-term); Propionamide (K  X@N-term); 2 more,82396,TRINITY_DN47460_c1_g1_i1.p1
